"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"CD1C",2.34878253562806e-58,0.874540127521538,0.382,0.028,4.64636161197943e-54,"Macrophage C6","CD1C",0.354
"FCER1A",4.69390289298649e-55,1.50672008673121,0.3,0.016,9.28547870290587e-51,"Macrophage C6","FCER1A",0.284
"CST7",3.93441625167093e-54,1.22298167161222,0.736,0.14,7.78306222905542e-50,"Macrophage C6","CST7",0.596
"AMICA1",2.22351258424844e-50,0.635338876548063,0.673,0.117,4.39855259416026e-46,"Macrophage C6","AMICA1",0.556
"CLEC10A",2.05204938555733e-45,0.9658646593517,0.573,0.099,4.0593640945095e-41,"Macrophage C6","CLEC10A",0.474
"PKIB",3.0298086028634e-43,0.57499524763912,0.436,0.057,5.99356737818437e-39,"Macrophage C6","PKIB",0.379
"HLA-DPB1",3.22132442692105e-37,1.05348712623116,1,0.841,6.37242398133522e-33,"Macrophage C6","HLA-DPB1",0.159
"HLA-DPA1",3.4314025858479e-37,1.05048732049655,1,0.82,6.78800059532432e-33,"Macrophage C6","HLA-DPA1",0.18
"HLA-DRA",3.93812804096021e-36,0.885649923267689,1,0.972,7.79040489062749e-32,"Macrophage C6","HLA-DRA",0.028
"HLA-DQB1",1.49016807106592e-35,1.01803396377095,1,0.705,2.9478504781826e-31,"Macrophage C6","HLA-DQB1",0.295
"CD74",2.08816615723318e-35,0.894859020163041,1,0.936,4.13081029223868e-31,"Macrophage C6","CD74",0.0639999999999999
"HLA-DRB1",2.53305028082211e-34,0.934560843824354,1,0.881,5.0108800655223e-30,"Macrophage C6","HLA-DRB1",0.119
"SNHG15",3.1510031442479e-34,0.53865473577057,0.582,0.13,6.2333144199512e-30,"Macrophage C6","SNHG15",0.452
"HLA-DQA1",9.4554198959321e-34,1.12667715232519,0.991,0.584,1.87047116381329e-29,"Macrophage C6","HLA-DQA1",0.407
"ARL4C",6.37803513472735e-33,0.742633036163814,0.809,0.258,1.26170291035176e-28,"Macrophage C6","ARL4C",0.551
"CSF2RA",6.62448031000495e-32,0.619420127578267,0.736,0.216,1.31045469492518e-27,"Macrophage C6","CSF2RA",0.52
"GPR183",6.89633413263961e-32,1.06012859336601,0.964,0.539,1.36423281811877e-27,"Macrophage C6","GPR183",0.425
"RUNX3",7.46382664691081e-32,0.586756986804104,0.627,0.159,1.4764941872919e-27,"Macrophage C6","RUNX3",0.468
"STK4",8.01728279801256e-32,0.649186068251877,0.645,0.168,1.58597888310285e-27,"Macrophage C6","STK4",0.477
"CXCR4",1.35243492441313e-31,0.967405289335108,0.936,0.404,2.67538676747406e-27,"Macrophage C6","CXCR4",0.532
"AGPAT9",5.06495381605434e-31,0.61614754272382,0.418,0.076,1.00194916389187e-26,"Macrophage C6","AGPAT9",0.342
"AKAP13",4.4381215037778e-30,0.700707329070755,0.8,0.284,8.77949195877325e-26,"Macrophage C6","AKAP13",0.516
"LMNA",4.56366567995908e-30,1.1311338291665,0.873,0.424,9.02784344809505e-26,"Macrophage C6","LMNA",0.449
"PPA1",1.19910598538021e-29,0.729799429111124,0.873,0.318,2.37207146027912e-25,"Macrophage C6","PPA1",0.555
"HLA-DRB5",5.90751624069274e-29,0.992804172793762,0.936,0.701,1.16862486273384e-24,"Macrophage C6","HLA-DRB5",0.235
"SLC25A19",6.72697943372833e-29,0.551965847633244,0.482,0.105,1.33073107158014e-24,"Macrophage C6","SLC25A19",0.377
"HLA-DQA2",1.54350712458499e-27,0.939791635072371,0.855,0.37,3.05336579385403e-23,"Macrophage C6","HLA-DQA2",0.485
"LRRFIP1",1.73603475886856e-26,0.686555847838241,0.882,0.357,3.43422395999379e-22,"Macrophage C6","LRRFIP1",0.525
"EZR",3.44822989167348e-26,0.712173690764521,0.9,0.373,6.82128837170848e-22,"Macrophage C6","EZR",0.527
"CCR7",3.72055074371517e-26,0.58669740595307,0.473,0.104,7.35999348121736e-22,"Macrophage C6","CCR7",0.369
"HLA-DMA",4.4929156491791e-26,0.605669046971008,0.991,0.553,8.8878857372061e-22,"Macrophage C6","HLA-DMA",0.438
"CEBPD",9.90277892473993e-26,0.646760543222182,0.664,0.207,1.95896772689205e-21,"Macrophage C6","CEBPD",0.457
"ZFP36",1.71968855194401e-25,0.721536005804074,0.955,0.514,3.40188789345565e-21,"Macrophage C6","ZFP36",0.441
"RASSF5",5.93034240566795e-25,0.548310158966606,0.655,0.205,1.17314033468923e-20,"Macrophage C6","RASSF5",0.45
"SRSF2",5.98873966227286e-24,0.5913320444075,0.918,0.419,1.18469247999082e-19,"Macrophage C6","SRSF2",0.499
"CPVL",1.92527463904e-23,0.750808928710698,0.836,0.346,3.80857829094892e-19,"Macrophage C6","CPVL",0.49
