"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"FCN1",8.92953688940944e-187,1.61926050827064,0.77,0.105,1.76644098746297e-182,"0","FCN1",0.665
"TIMP1",5.70000870226797e-130,1.5405177427485,0.987,0.67,1.12757572148265e-125,"0","TIMP1",0.317
"SRGN",6.02464809077267e-108,0.820540981077654,0.996,0.895,1.19179588531665e-103,"0","SRGN",0.101
"S100A9",1.22716688662858e-103,1.19700787070653,0.983,0.524,2.42758153512866e-99,"0","S100A9",0.459
"APOBEC3A",3.38414764060928e-99,1.20173737541742,0.383,0.024,6.69452086265329e-95,"0","APOBEC3A",0.359
"S100A12",4.13580792257889e-98,1.17763835078299,0.655,0.161,8.18145523244555e-94,"0","S100A12",0.494
"S100A8",1.63486765691806e-97,1.11497818483455,0.948,0.427,3.2340951989153e-93,"0","S100A8",0.521
"S100A4",1.64352988256214e-94,0.88760783475844,0.99,0.661,3.25123081368443e-90,"0","S100A4",0.329
"TREM1",1.23034167488326e-84,0.902872278877314,0.824,0.332,2.43386190125406e-80,"0","TREM1",0.492
"ATP1B3",2.12234908396526e-84,0.890006661684667,0.937,0.598,4.19843095790008e-80,"0","ATP1B3",0.339
"FPR1",7.39969245109383e-81,0.943044600981184,0.582,0.159,1.46380716067538e-76,"0","FPR1",0.423
"CD300E",1.63531786442109e-79,0.883376342768221,0.596,0.165,3.2349857993978e-75,"0","CD300E",0.431
"S100A6",9.11949588457184e-79,0.697132749220418,0.996,0.773,1.804018675886e-74,"0","S100A6",0.223
"EMP3",2.37251581679225e-71,0.712310588080219,0.964,0.659,4.69331078877843e-67,"0","EMP3",0.305
"VCAN",3.28844547517291e-71,0.885484948886735,0.605,0.182,6.50520283898705e-67,"0","VCAN",0.423
"G0S2",3.3841773450277e-69,0.820118233642237,0.939,0.537,6.69457962393379e-65,"0","G0S2",0.402
"PNP",5.67738572692715e-66,0.84014197612687,0.596,0.201,1.12310044450073e-61,"0","PNP",0.395
"C19orf59",1.29379216080523e-63,0.783640655091036,0.584,0.184,2.5593796525049e-59,"0","C19orf59",0.4
"ATP2B1",2.89183598380557e-63,0.756743922941723,0.78,0.391,5.72062994316418e-59,"0","ATP2B1",0.389
"NFKBIA",1.06169505127777e-61,0.758807451523289,0.958,0.693,2.10024515043768e-57,"0","NFKBIA",0.265
"SLC2A3",1.69526822402761e-61,0.788338351743493,0.812,0.405,3.35357960077142e-57,"0","SLC2A3",0.407
"CD55",8.86287859650822e-61,0.776008858619895,0.793,0.428,1.75325464396126e-56,"0","CD55",0.365
"VEGFA",2.56705023084178e-60,0.779138870542895,0.634,0.25,5.0781387666512e-56,"0","VEGFA",0.384
"BTG1",8.18801615621002e-60,0.64610971842843,0.956,0.727,1.61975335602147e-55,"0","BTG1",0.229
"HPSE",1.04107825425354e-58,0.724016661151709,0.431,0.106,2.05946100256434e-54,"0","HPSE",0.325
"CFD",1.71334128232374e-58,0.631810672909273,0.605,0.208,3.38933172469281e-54,"0","CFD",0.397
"PPIF",2.28731425679213e-58,0.797284630574455,0.822,0.436,4.52476506278619e-54,"0","PPIF",0.386
"THBS1",2.57092027781803e-58,0.974578268817433,0.561,0.187,5.08579449357963e-54,"0","THBS1",0.374
"OLR1",4.58806758750654e-57,0.978359515410558,0.546,0.19,9.07611530160543e-53,"0","OLR1",0.356
"STXBP2",1.96724974303896e-56,0.737716569179242,0.69,0.32,3.89161344167968e-52,"0","STXBP2",0.37
"LYZ",8.61876767180115e-56,0.571068582666188,0.99,0.733,1.7049646208357e-51,"0","LYZ",0.257
"SLC25A37",1.72639128995452e-55,0.635655268937041,0.655,0.248,3.41514724978803e-51,"0","SLC25A37",0.407
"CTB-61M7.2",2.01373295704892e-54,0.664659906096805,0.45,0.121,3.98356653563418e-50,"0","CTB-61M7.2",0.329
"S100A10",2.23177903682199e-53,0.586594092241464,0.971,0.782,4.41490529064127e-49,"0","S100A10",0.189
