"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"IGJ",0,5.35301469961384,0.991,0.507,0,"B cells","IGJ",0.484
"IGLL5",0,5.013700369929,0.987,0.644,0,"B cells","IGLL5",0.343
"MZB1",0,3.58447627868404,0.977,0.07,0,"B cells","MZB1",0.907
"SSR4",0,3.06804832909551,0.992,0.599,0,"B cells","SSR4",0.393
"DERL3",0,2.86169145411313,0.928,0.039,0,"B cells","DERL3",0.889
"FKBP11",0,2.40259496998501,0.941,0.154,0,"B cells","FKBP11",0.787
"XBP1",0,2.36447892717439,0.914,0.243,0,"B cells","XBP1",0.671
"PRDX4",0,2.26965052909673,0.885,0.107,0,"B cells","PRDX4",0.778
"HERPUD1",0,2.18366193415216,0.925,0.411,0,"B cells","HERPUD1",0.514
"AL928768.3",0,2.15441165573273,0.577,0.07,0,"B cells","AL928768.3",0.507
"SEC11C",0,1.92169895914391,0.903,0.194,0,"B cells","SEC11C",0.709
"JSRP1",0,1.84287046338854,0.679,0.011,0,"B cells","JSRP1",0.668
"FKBP2",0,1.72836658479645,0.906,0.216,0,"B cells","FKBP2",0.69
"HSP90B1",0,1.70342597761906,0.924,0.337,0,"B cells","HSP90B1",0.587
"HIST1H1C",0,1.59842563118119,0.651,0.09,0,"B cells","HIST1H1C",0.561
"SSR3",0,1.55182094959233,0.873,0.206,0,"B cells","SSR3",0.667
"ITM2C",0,1.529439292776,0.796,0.163,0,"B cells","ITM2C",0.633
"TRIB1",0,1.48120610967306,0.715,0.071,0,"B cells","TRIB1",0.644
"SPCS2",0,1.37532832432135,0.914,0.384,0,"B cells","SPCS2",0.53
"TNFRSF17",0,1.37044310309618,0.603,0.005,0,"B cells","TNFRSF17",0.598
"TMEM59",0,1.363506357717,0.912,0.475,0,"B cells","TMEM59",0.437
"SPCS3",0,1.33964288370937,0.812,0.197,0,"B cells","SPCS3",0.615
"DNAJB9",0,1.33650052684463,0.745,0.171,0,"B cells","DNAJB9",0.574
"SPCS1",0,1.33527284426271,0.899,0.415,0,"B cells","SPCS1",0.484
"HIST1H2BK",0,1.31835437477644,0.691,0.155,0,"B cells","HIST1H2BK",0.536
"PIM2",0,1.31469017971399,0.703,0.122,0,"B cells","PIM2",0.581
"NUCB2",0,1.28224973613324,0.7,0.095,0,"B cells","NUCB2",0.605
"SDF2L1",0,1.26433245458293,0.784,0.149,0,"B cells","SDF2L1",0.635
"GADD45A",0,1.23141035306389,0.565,0.102,0,"B cells","GADD45A",0.463
"PDIA6",0,1.2217923796896,0.806,0.234,0,"B cells","PDIA6",0.572
"DUSP5",0,1.22150035098197,0.582,0.07,0,"B cells","DUSP5",0.512
"LINC00152",0,1.20769981291192,0.748,0.228,0,"B cells","LINC00152",0.52
"ANKRD28",0,1.19723694146226,0.745,0.156,0,"B cells","ANKRD28",0.589
"VIMP",0,1.19460346473887,0.831,0.239,0,"B cells","VIMP",0.592
"MANF",0,1.17510916144974,0.814,0.242,0,"B cells","MANF",0.572
"PRDM1",0,1.17482008830952,0.599,0.052,0,"B cells","PRDM1",0.547
"LMAN1",0,1.15594911016714,0.686,0.09,0,"B cells","LMAN1",0.596
"CD27",0,1.12617973475681,0.634,0.128,0,"B cells","CD27",0.506
"C19orf10",0,1.12051084877083,0.804,0.241,0,"B cells","C19orf10",0.563
"KRTCAP2",0,1.11596779054239,0.827,0.284,0,"B cells","KRTCAP2",0.543
"TXNDC15",0,1.11372266095827,0.675,0.079,0,"B cells","TXNDC15",0.596
"CD79A",0,1.07951890225033,0.91,0.265,0,"B cells","CD79A",0.645
"ERLEC1",0,1.07617193478321,0.626,0.092,0,"B cells","ERLEC1",0.534
"SPAG4",0,1.06934798241849,0.574,0.024,0,"B cells","SPAG4",0.55
"CYBA",0,1.06193579627679,0.975,0.81,0,"B cells","CYBA",0.165
"CD38",0,1.05809142333296,0.618,0.048,0,"B cells","CD38",0.57
"PPAPDC1B",0,1.05496602654194,0.657,0.077,0,"B cells","PPAPDC1B",0.58
"SDC1",0,1.05219646385403,0.476,0.005,0,"B cells","SDC1",0.471
"PDIA4",0,1.04854171783805,0.679,0.111,0,"B cells","PDIA4",0.568
"FCRL5",0,1.04075308781955,0.564,0.011,0,"B cells","FCRL5",0.553
"RAB30",0,1.02292892633411,0.496,0.048,0,"B cells","RAB30",0.448
"TMED10",0,1.02044876192311,0.803,0.274,0,"B cells","TMED10",0.529
"CRELD2",0,1.01409288059302,0.633,0.089,0,"B cells","CRELD2",0.544
"RABAC1",0,1.00853575168476,0.866,0.369,0,"B cells","RABAC1",0.497
"RPN2",0,1.00756929846871,0.738,0.209,0,"B cells","RPN2",0.529
"FAM46C",0,0.975599311015919,0.706,0.147,0,"B cells","FAM46C",0.559
"UBE2J1",0,0.961645542502645,0.697,0.155,0,"B cells","UBE2J1",0.542
"HM13",0,0.923107384293813,0.646,0.112,0,"B cells","HM13",0.534
"ERGIC3",0,0.908927295205276,0.76,0.256,0,"B cells","ERGIC3",0.504
"SLAMF7",0,0.905553440290804,0.55,0.036,0,"B cells","SLAMF7",0.514
"LY96",0,0.892269217890503,0.649,0.093,0,"B cells","LY96",0.556
"TMEM258",0,0.887753444151534,0.859,0.411,0,"B cells","TMEM258",0.448
"KDELR1",0,0.882632715125608,0.637,0.106,0,"B cells","KDELR1",0.531
"SEC61B",0,0.87603989509227,0.903,0.531,0,"B cells","SEC61B",0.372
"TXNDC11",0,0.867189317905259,0.563,0.075,0,"B cells","TXNDC11",0.488
"LMAN2",0,0.851342391481822,0.756,0.249,0,"B cells","LMAN2",0.507
"PPIB",0,0.840890128151792,0.828,0.403,0,"B cells","PPIB",0.425
"CUTA",0,0.831419614274107,0.822,0.362,0,"B cells","CUTA",0.46
"TPD52",0,0.809370755263324,0.607,0.075,0,"B cells","TPD52",0.532
"TRAM1",0,0.807562326599143,0.742,0.277,0,"B cells","TRAM1",0.465
"ARSA",0,0.803579303589066,0.529,0.042,0,"B cells","ARSA",0.487
"CHPF",0,0.803186805862654,0.491,0.023,0,"B cells","CHPF",0.468
"SELM",0,0.800919493969399,0.686,0.154,0,"B cells","SELM",0.532
"POU2AF1",0,0.788432432142515,0.466,0.031,0,"B cells","POU2AF1",0.435
"TMED9",0,0.773296242252185,0.712,0.246,0,"B cells","TMED9",0.466
"PELI1",0,0.772727936827438,0.47,0.088,0,"B cells","PELI1",0.382
"ALG5",0,0.769083273824471,0.582,0.089,0,"B cells","ALG5",0.493
"SPINK2",0,0.761594807612037,0.257,0.011,0,"B cells","SPINK2",0.246
"KDELR2",0,0.755640067090803,0.697,0.21,0,"B cells","KDELR2",0.487
"RP11-290F5.1",0,0.747200749815435,0.373,0.002,0,"B cells","RP11-290F5.1",0.371
"SIL1",0,0.742963673390242,0.535,0.051,0,"B cells","SIL1",0.484
"RRBP1",0,0.7320478560958,0.497,0.071,0,"B cells","RRBP1",0.426
"P4HB",0,0.730595374633265,0.725,0.263,0,"B cells","P4HB",0.462
"SEL1L3",0,0.729492985103113,0.515,0.062,0,"B cells","SEL1L3",0.453
"REEP5",0,0.718011195548781,0.747,0.272,0,"B cells","REEP5",0.475
"HIST1H2BC",0,0.715477365597168,0.274,0.009,0,"B cells","HIST1H2BC",0.265
"TOR3A",0,0.697441703537534,0.401,0.074,0,"B cells","TOR3A",0.327
"SRPRB",0,0.696579510807698,0.522,0.064,0,"B cells","SRPRB",0.458
"CADM1",0,0.680350661647551,0.259,0.014,0,"B cells","CADM1",0.245
"PHPT1",0,0.679388621521212,0.655,0.184,0,"B cells","PHPT1",0.471
"TMEM205",0,0.679270131460606,0.551,0.088,0,"B cells","TMEM205",0.463
"SEL1L",0,0.67815745627679,0.457,0.048,0,"B cells","SEL1L",0.409
"IFNAR2",0,0.673347893089107,0.486,0.065,0,"B cells","IFNAR2",0.421
"TMEM208",0,0.668935083489857,0.611,0.139,0,"B cells","TMEM208",0.472
"MEI1",0,0.668347868508657,0.482,0.057,0,"B cells","MEI1",0.425
"RP11-16E12.2",0,0.667623337154714,0.306,0.003,0,"B cells","RP11-16E12.2",0.303
"ZBP1",0,0.66013773260398,0.387,0.024,0,"B cells","ZBP1",0.363
"PABPC4",0,0.656707193072433,0.597,0.179,0,"B cells","PABPC4",0.418
"LAMP2",0,0.645654831648604,0.536,0.089,0,"B cells","LAMP2",0.447
