"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","pct.diff"
"TNFRSF4",0,1.40827999968263,0.352,0.068,0,"0","TNFRSF4",0.284
"KLRB1",0,1.30439933075787,0.468,0.095,0,"0","KLRB1",0.373
"LTB",0,1.29205168810723,0.685,0.212,0,"0","LTB",0.473
"IL7R",0,1.19594132233492,0.584,0.129,0,"0","IL7R",0.455
"CD2",0,1.16712793998939,0.712,0.19,0,"0","CD2",0.522
"SPOCK2",0,1.00367241356946,0.688,0.226,0,"0","SPOCK2",0.462
"BATF",0,0.978732790419449,0.253,0.049,0,"0","BATF",0.204
"CD3D",0,0.95777177196448,0.843,0.275,0,"0","CD3D",0.568
"ICOS",0,0.935650333679702,0.401,0.062,0,"0","ICOS",0.339
"IL32",0,0.879578425022316,0.8,0.37,0,"0","IL32",0.43
"CD3E",0,0.858822845431741,0.732,0.224,0,"0","CD3E",0.508
"RORA",0,0.801229449500328,0.443,0.127,0,"0","RORA",0.316
"TNFRSF25",0,0.789347751269941,0.317,0.035,0,"0","TNFRSF25",0.282
"CD7",0,0.743935888741536,0.738,0.255,0,"0","CD7",0.483
"TMEM66",0,0.73521963845325,0.917,0.76,0,"0","TMEM66",0.157
"S100A4",0,0.728931505724057,0.761,0.465,0,"0","S100A4",0.296
"LEPROTL1",0,0.70745767361666,0.718,0.341,0,"0","LEPROTL1",0.377
"FYB",0,0.689396254100171,0.407,0.122,0,"0","FYB",0.285
"PBXIP1",0,0.675831765012181,0.453,0.173,0,"0","PBXIP1",0.28
"GIMAP7",0,0.62314670197018,0.333,0.084,0,"0","GIMAP7",0.249
"FXYD5",0,0.61150266404563,0.778,0.551,0,"0","FXYD5",0.227
"ARHGDIB",0,0.602158177660995,0.913,0.679,0,"0","ARHGDIB",0.234
"FYN",0,0.58241814048482,0.586,0.23,0,"0","FYN",0.356
"CD6",0,0.571564594101716,0.367,0.098,0,"0","CD6",0.269
"CD247",6.07200273397055e-288,0.512757154708536,0.355,0.109,1.20116358083406e-283,"0","CD247",0.246
"ITM2A",2.22399205468377e-283,0.660401313515973,0.543,0.256,4.39950108257544e-279,"0","ITM2A",0.287
"LDHB",1.67096561593716e-262,0.54506522216087,0.629,0.379,3.30550418144689e-258,"0","LDHB",0.25
"PIK3IP1",2.58619441166232e-246,0.513104171908553,0.34,0.117,5.11600978515041e-242,"0","PIK3IP1",0.223
"LCK",7.87322535376253e-241,0.504441840821489,0.379,0.141,1.5574814394813e-236,"0","LCK",0.238
"TNFRSF18",5.27413926926168e-210,0.84608334071946,0.292,0.109,1.04333023024535e-205,"0","TNFRSF18",0.183
"ANKRD12",3.69013381147649e-190,0.552356865519161,0.557,0.337,7.29982270586279e-186,"0","ANKRD12",0.22
"RHBDD2",6.6318980099445e-179,0.514661117130089,0.363,0.168,1.31192206432722e-174,"0","RHBDD2",0.195
"CACYBP",6.60897193520791e-176,0.560411879336777,0.371,0.177,1.30738682822283e-171,"0","CACYBP",0.194
"NR3C1",2.56931391752429e-172,0.626616518948987,0.489,0.286,5.08261679164655e-168,"0","NR3C1",0.203
"ANXA1",1.97743001571385e-161,0.718229799829169,0.613,0.445,3.91175205708514e-157,"0","ANXA1",0.168
"CRIP1",2.88287770834013e-149,0.516813086201057,0.699,0.504,5.70290868263844e-145,"0","CRIP1",0.195
"CD79A",0,1.88510735517934,0.958,0.157,0,"1","CD79A",0.801
"HLA-DQB1",0,1.72853072335084,0.945,0.256,0,"1","HLA-DQB1",0.689
"CD74",0,1.7214766762039,0.999,0.777,0,"1","CD74",0.222
"CD83",0,1.71355303492362,0.766,0.164,0,"1","CD83",0.602
"HLA-DRA",0,1.68676014209092,0.998,0.462,0,"1","HLA-DRA",0.536
"MS4A1",0,1.66290786392544,0.642,0.019,0,"1","MS4A1",0.623
"HLA-DQA1",0,1.43969229468591,0.853,0.193,0,"1","HLA-DQA1",0.66
"LY9",0,1.38393885178553,0.521,0.072,0,"1","LY9",0.449
"HLA-DRB1",0,1.35357053256331,0.974,0.396,0,"1","HLA-DRB1",0.578
"BANK1",0,1.33653305591594,0.533,0.014,0,"1","BANK1",0.519
"HLA-DPA1",0,1.27627051540855,0.969,0.417,0,"1","HLA-DPA1",0.552
"HLA-DQA2",0,1.22970771134338,0.622,0.132,0,"1","HLA-DQA2",0.49
"VPREB3",0,1.19623348214966,0.434,0.015,0,"1","VPREB3",0.419
"CD37",0,1.18734280734163,0.908,0.464,0,"1","CD37",0.444
"HLA-DMA",0,1.14734960388874,0.735,0.223,0,"1","HLA-DMA",0.512
"LAPTM5",0,1.14362127569664,0.935,0.577,0,"1","LAPTM5",0.358
"HLA-DPB1",0,1.12702453594972,0.971,0.441,0,"1","HLA-DPB1",0.53
"CD69",0,1.08137313640978,0.764,0.422,0,"1","CD69",0.342
"HLA-DRB5",0,1.07703784896052,0.687,0.227,0,"1","HLA-DRB5",0.46
"CTA-250D10.23",0,1.05746886016085,0.403,0.016,0,"1","CTA-250D10.23",0.387
"EZR",0,1.01899551936886,0.931,0.586,0,"1","EZR",0.345
"CD55",0,0.968882218458673,0.76,0.379,0,"1","CD55",0.381
"SPIB",0,0.890443259315843,0.303,0.013,0,"1","SPIB",0.29
"SMIM14",0,0.881149700772831,0.353,0.066,0,"1","SMIM14",0.287
"KIAA0226L",0,0.839635451862702,0.277,0.01,0,"1","KIAA0226L",0.267
"NFKBID",0,0.836919476667237,0.331,0.064,0,"1","NFKBID",0.267
"CD19",0,0.832654861566732,0.319,0.027,0,"1","CD19",0.292
